style,gate,sample,pair_pt,algorithm,family,status,keypoints_a,keypoints_b,raw_matches,inlier_matches,correct,wrong,precision,mean_error_px,median_error_px,visualization,message
timestamp,rotate,rot180,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/timestamp/rotate/source_000088_20260514T070226673_NAS_PAN_L2b/pair_002860.pt,ORB-cross-Ht3,classical,ok,879,878,256,256,256,0,1.000000,0.351019,0.599899,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/timestamp/rotate/rot180/ORB-cross-Ht3.png,raw matcher output; no geometric postprocessing
timestamp,rotate,rot180,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/timestamp/rotate/source_000088_20260514T070226673_NAS_PAN_L2b/pair_002860.pt,AKAZE-cross-Ht3,classical,ok,409,409,256,256,256,0,1.000000,0.006562,0.003500,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/timestamp/rotate/rot180/AKAZE-cross-Ht3.png,raw matcher output; no geometric postprocessing
timestamp,rotate,rot180,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/timestamp/rotate/source_000088_20260514T070226673_NAS_PAN_L2b/pair_002860.pt,LightGlue-SIFT-Ht3,learned,ok,450,439,256,256,256,0,1.000000,0.700892,0.707193,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/timestamp/rotate/rot180/LightGlue-SIFT-Ht3.png,raw matcher output; no geometric postprocessing
numeric,viewpoint,01,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/viewpoint/source_000201_72/pair_002049.pt,PlanetaryFeatureMatch-current,pfm,ok,0,0,46,46,5,41,0.108696,122.539955,111.267609,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/pfm/numeric/viewpoint/01/01_source_000201_72_pair_002049.png,state=blend02540; score=texture; blend=4; margin=0.01; target_contrast=0
numeric,viewpoint,01,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/viewpoint/source_000201_72/pair_002049.pt,SIFT-r0.80-Ht2,classical,ok,1024,1024,85,85,69,16,0.811765,15.073290,0.616390,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/numeric/viewpoint/01/SIFT-r0.80-Ht2.png,raw matcher output; no geometric postprocessing
numeric,viewpoint,01,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/viewpoint/source_000201_72/pair_002049.pt,RootSIFT-r0.80-Ht2,classical,ok,1024,1024,79,79,74,5,0.936709,6.686919,0.613621,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/numeric/viewpoint/01/RootSIFT-r0.80-Ht2.png,raw matcher output; no geometric postprocessing
numeric,viewpoint,01,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/viewpoint/source_000201_72/pair_002049.pt,RootSIFT-r0.90-Ht2,classical,ok,1024,1024,221,221,152,69,0.687783,39.671642,0.777902,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/numeric/viewpoint/01/RootSIFT-r0.90-Ht2.png,raw matcher output; no geometric postprocessing
numeric,viewpoint,01,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/viewpoint/source_000201_72/pair_002049.pt,ORB-cross-Ht3,classical,ok,1024,1024,256,256,135,121,0.527344,43.934528,4.233871,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/numeric/viewpoint/01/ORB-cross-Ht3.png,raw matcher output; no geometric postprocessing
numeric,viewpoint,01,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/viewpoint/source_000201_72/pair_002049.pt,AKAZE-cross-Ht3,classical,ok,501,333,119,119,47,72,0.394958,49.721107,11.710712,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/numeric/viewpoint/01/AKAZE-cross-Ht3.png,raw matcher output; no geometric postprocessing
numeric,viewpoint,01,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/viewpoint/source_000201_72/pair_002049.pt,LightGlue-SIFT-Ht3,learned,ok,446,429,249,249,241,8,0.967871,0.941770,0.553312,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/numeric/viewpoint/01/LightGlue-SIFT-Ht3.png,raw matcher output; no geometric postprocessing
